120023msec 100   sleep-INFO:Deep Sleeping...
120023msec 139   sleep-INFO:Deep Sleeping...
120023msec 295   sleep-INFO:Deep Sleeping...
120023msec 334   sleep-INFO:Deep Sleeping...
120023msec 724   sleep-INFO:Deep Sleeping...
120022msec 20    sleep-INFO:Deep Sleeping...
120022msec 61    sleep-INFO:Deep Sleeping...
120022msec 178   sleep-INFO:Deep Sleeping...
120022msec 217   sleep-INFO:Deep Sleeping...
120022msec 256   sleep-INFO:Deep Sleeping...
120022msec 373   sleep-INFO:Deep Sleeping...
120022msec 412   sleep-INFO:Deep Sleeping...
120022msec 451   sleep-INFO:Deep Sleeping...
120022msec 490   sleep-INFO:Deep Sleeping...
120022msec 529   sleep-INFO:Deep Sleeping...
120022msec 568   sleep-INFO:Deep Sleeping...
120022msec 607   sleep-INFO:Deep Sleeping...
120022msec 646   sleep-INFO:Deep Sleeping...
120022msec 685   sleep-INFO:Deep Sleeping...
2msec      267   app-DEBUG:Updating state to 2
2msec      271   app-DEBUG:Main start
2msec      272   app-DEBUG:App start time: 888572
2msec      274   app-INFO:Wake reason: 0
2msec      277   app-DEBUG:Backup ram check duration: 7msec
2msec      278   app-INFO:Initial device state: 2
2msec      292   app-DEBUG:Updating state to 1
2msec      297   app-DEBUG:App start time: 1008780
2msec      298   app-INFO:Reset cause: 5
2msec      299   app-INFO:Wake reason: 0
2msec      302   app-DEBUG:Backup ram check duration: 6msec
2msec      306   app-DEBUG:Updating state to 2
2msec      313   app-INFO:Wake reason: 0
2msec      316   app-DEBUG:Backup ram check duration: 6msec
2msec      317   app-INFO:Initial device state: 2
2msec      324   app-INFO:Updating display...
2msec      329   display-DEBUG:Display update completed.
2msec      330   app-WARNING:Run time: 200
2msec      331   app-DEBUG:Updating state to 1
2msec      336   app-DEBUG:App start time: 1134042
2msec      337   app-INFO:Reset cause: 5
2msec      338   app-INFO:Wake reason: 0
2msec      341   app-DEBUG:Backup ram check duration: 6msec
2msec      345   app-DEBUG:Updating state to 2
2msec      350   app-DEBUG:App start time: 1139096
2msec      351   app-INFO:Reset cause: 5
2msec      352   app-INFO:Wake reason: 0
2msec      355   app-DEBUG:Backup ram check duration: 6msec
2msec      363   app-INFO:Updating display...
2msec      369   app-WARNING:Run time: 200
2msec      370   app-DEBUG:Updating state to 1
2msec      374   app-DEBUG:Main start
2msec      375   app-DEBUG:App start time: 1259303
2msec      376   app-INFO:Reset cause: 5
2msec      378   app-INFO:First boot: False
2msec      384   app-DEBUG:Updating state to 2
2msec      389   app-DEBUG:App start time: 1264358
2msec      390   app-INFO:Reset cause: 5
2msec      392   app-INFO:First boot: False
2msec      394   app-DEBUG:Backup ram check duration: 6msec
2msec      401   app-INFO:{'Humidity': 54.24347, 'Temperature': 19.26315, 'Batt Voltage': 0, 'CO2': 870}
2msec      402   app-INFO:Updating display...
2msec      408   app-WARNING:Run time: 200
2msec      409   app-DEBUG:Updating state to 1
2msec      413   app-DEBUG:Main start
2msec      414   app-DEBUG:App start time: 1384565
2msec      415   app-INFO:Reset cause: 5
2msec      422   app-INFO:Sending single shot...
2msec      427   app-DEBUG:Main start
2msec      428   app-DEBUG:App start time: 1389619
2msec      429   app-INFO:Reset cause: 5
2msec      431   app-INFO:First boot: False
2msec      440   app-INFO:{'Humidity': 53.94287, 'Temperature': 19.47411, 'Batt Voltage': 0, 'CO2': 1026}
2msec      441   app-INFO:Updating display...
2msec      447   app-WARNING:Run time: 202
2msec      448   app-DEBUG:Updating state to 1
2msec      452   app-DEBUG:Main start
2msec      453   app-DEBUG:App start time: 1509828
2msec      455   app-INFO:Wake reason: 0
2msec      461   app-INFO:Sending single shot...
2msec      462   app-DEBUG:Updating state to 2
2msec      466   app-DEBUG:Main start
2msec      467   app-DEBUG:App start time: 1514882
2msec      468   app-INFO:Reset cause: 5
2msec      479   app-INFO:{'Humidity': 53.62854, 'Temperature': 19.54353, 'Batt Voltage': 0, 'CO2': 922}
2msec      480   app-INFO:Updating display...
2msec      491   app-DEBUG:Main start
2msec      492   app-DEBUG:App start time: 1635090
2msec      494   app-INFO:Wake reason: 0
2msec      500   app-INFO:Sending single shot...
2msec      501   app-DEBUG:Updating state to 2
2msec      505   app-DEBUG:Main start
2msec      506   app-DEBUG:App start time: 1640144
2msec      508   app-INFO:Wake reason: 0
2msec      525   app-WARNING:Run time: 200
2msec      526   app-DEBUG:Updating state to 1
2msec      530   app-DEBUG:Main start
2msec      531   app-DEBUG:App start time: 1760352
2msec      533   app-INFO:Wake reason: 0
2msec      539   app-INFO:Sending single shot...
2msec      540   app-DEBUG:Updating state to 2
2msec      544   app-DEBUG:Main start
2msec      545   app-DEBUG:App start time: 1765406
2msec      546   app-INFO:Reset cause: 5
2msec      557   app-INFO:{'Humidity': 53.37067, 'Temperature': 19.52217, 'Batt Voltage': 0, 'CO2': 878}
2msec      558   app-INFO:Updating display...
2msec      569   app-DEBUG:Main start
2msec      570   app-DEBUG:App start time: 1885614
2msec      572   app-INFO:Wake reason: 0
2msec      575   app-DEBUG:Backup ram check duration: 7msec
2msec      576   app-INFO:Initial device state: 1
2msec      578   app-INFO:Sending single shot...
2msec      579   app-DEBUG:Updating state to 2
2msec      583   app-DEBUG:Main start
2msec      584   app-DEBUG:App start time: 1890668
2msec      586   app-INFO:Wake reason: 0
2msec      608   app-DEBUG:Main start
2msec      609   app-DEBUG:App start time: 2010876
2msec      611   app-INFO:Wake reason: 0
2msec      614   app-DEBUG:Backup ram check duration: 6msec
2msec      615   app-INFO:Initial device state: 1
2msec      617   app-INFO:Sending single shot...
2msec      618   app-DEBUG:Updating state to 2
2msec      622   app-DEBUG:Main start
2msec      623   app-DEBUG:App start time: 2015930
2msec      625   app-INFO:Wake reason: 0
2msec      628   app-DEBUG:Backup ram check duration: 7msec
2msec      629   app-INFO:Initial device state: 2
2msec      650   app-INFO:Wake reason: 0
2msec      653   app-DEBUG:Backup ram check duration: 6msec
2msec      654   app-INFO:Initial device state: 1
2msec      657   app-DEBUG:Updating state to 2
2msec      664   app-INFO:Wake reason: 0
2msec      667   app-DEBUG:Backup ram check duration: 6msec
2msec      668   app-INFO:Initial device state: 2
2msec      675   app-INFO:Updating display...
2msec      689   app-INFO:Wake reason: 0
2msec      692   app-DEBUG:Backup ram check duration: 6msec
2msec      693   app-INFO:Initial device state: 1
2msec      695   app-INFO:Sending single shot...
2msec      696   app-DEBUG:Updating state to 2
2msec      700   app-DEBUG:Main start
2msec      701   app-DEBUG:App start time: 2266454
2msec      703   app-INFO:Wake reason: 0
2msec      706   app-DEBUG:Backup ram check duration: 6msec
2msec      707   app-INFO:Initial device state: 2
2msec      721   app-DEBUG:Updating state to 1
2msec      728   app-INFO:Wake reason: 0
2msec      731   app-DEBUG:Backup ram check duration: 6msec
2msec      735   app-DEBUG:Updating state to 2
2msec      739   app-DEBUG:Main start
2msec      740   app-DEBUG:App start time: 2391716
2msec      742   app-INFO:Wake reason: 0
2msec      745   app-DEBUG:Backup ram check duration: 6msec
2msec      746   app-INFO:Initial device state: 2
2msec      753   app-INFO:Updating display...
2msec      760   app-DEBUG:Updating state to 1
1msec      2     app-DEBUG:Main start
1msec      4     app-INFO:Reset cause: 5
1msec      6     app-INFO:First boot: False
1msec      9     app-INFO:Initial device state: 2
1msec      16    app-WARNING:Run time: 101
1msec      24    app-INFO:Wake reason: 0
1msec      28    app-INFO:Initial device state: 1
1msec      35    app-DEBUG:Main start
1msec      38    app-INFO:Wake reason: 0
1msec      42    app-INFO:Initial device state: 2
1msec      64    app-INFO:Reset cause: 5
1msec      66    app-INFO:First boot: False
1msec      78    app-INFO:Reset cause: 5
1msec      80    app-INFO:First boot: False
1msec      89    app-INFO:{'Humidity': 56.12793, 'Temperature': 18.46741, 'Batt Voltage': 0, 'CO2': 898}
1msec      101   app-DEBUG:Main start
1msec      105   app-INFO:First boot: False
1msec      108   app-INFO:Initial device state: 1
1msec      115   app-DEBUG:Main start
1msec      117   app-INFO:Reset cause: 5
1msec      119   app-INFO:First boot: False
1msec      128   app-INFO:{'Humidity': 56.99615, 'Temperature': 18.45406, 'Batt Voltage': 0, 'CO2': 940}
1msec      140   app-DEBUG:Main start
1msec      143   app-INFO:Wake reason: 0
1msec      147   app-INFO:Initial device state: 1
1msec      154   app-DEBUG:Main start
1msec      158   app-INFO:First boot: False
1msec      161   app-INFO:Initial device state: 2
1msec      167   app-INFO:{'Humidity': 55.4718, 'Temperature': 19.13498, 'Batt Voltage': 0, 'CO2': 902}
1msec      182   app-INFO:Wake reason: 0
1msec      186   app-INFO:Initial device state: 1
1msec      193   app-DEBUG:Main start
